DOMAIN,DOMAIN_LENGTH,SUBDOMAIN,PORT,AT_SYMBOL,PRE_SUFFIX,HTTPS_HOSTNAME,IP_ADDRESS,SHORTENING,REDIRECTING,SUSPICIOUS_TLD,HTTPS,HTTPS_WILDCARD,HSTS,CSP,X_CONTENT_TYPE_OPTIONS,X_FRAME_OPTIONS,SECURE_COOKIES,MOUSE_OVER,RIGHT_CLICK,POPUP,I_FRAME,FAVICON,WEBSITE_TRAFFIC,FORWARDING,TP_RATING,TP_REVIEWS_COUNT,SA_RATING,SA_BACKLINKS,SA_WEBSITE_SPEED,SA_SSL_CERT,GSO_MALTIVERSE,GSO_APWG,GSO_COMPLYTRON,GSO_DNSFILTER,GSO_FLASHSTART,GSO_IQGLOBAL,GSO_PULSEDIVE,GSO_QUAD9,PR_GLOBAL_RANK,PR_PAGE_RANK,UV_DETECTIONS,UV_SITES_SAME_IP,UV_SITES_SAME_IP_DETECTIONS,TS_TRUSTED,TS_RATING,TS_REVIEWS_COUNT,WHOIS_CREATED_MONTHS,WHOIS_LAST_UPDATED_MONTHS,WHOIS_EXPIRES_IN_MONTHS,WHOIS_DNSSEC,WHOIS_COUNTRY,WHOIS_PRIVACY,TRUST
sportys.com,7,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,269013,1,4.5,4007,100,418,4,1,1,1,1,1,1,1,1,1,78032,4,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
ummskincare.com,11,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,NaN,338355,1,4.7,43,100,NaN,4,1,0,1,1,1,1,1,1,1,8374236,2,0,14,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
hammergirlanime.com,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,28004,1,NaN,NaN,100,11,1,1,0,1,1,1,1,1,1,1,15277191,2,0,14,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
www3.gogoanime.tv,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,175155,0,NaN,NaN,46,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,348024273,0,0,14,6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
huyett.com,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,193862,1,4.7,1170,100,37,4,1,0,1,1,1,1,1,1,1,2939263,3,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
thehomestoragedubai.com,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,202736,1,NaN,NaN,100,5,2,1,0,1,1,1,1,1,1,1,7278334,2,0,14,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
336productions.com,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,128189,1,NaN,NaN,100,13,1,1,0,1,1,1,1,1,1,1,8394642,2,0,7,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
culturecraftersus.com,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,247915,0,0.0,0,100,NaN,2,1,0,1,1,1,1,1,1,1,64290176,1,0,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
joeywallacephotography.com,22,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,62970,0,4.1,5,100,NaN,1,1,0,1,1,1,1,1,1,1,19371209,1,0,12,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
swissgams.de,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NaN,547738,0,NaN,NaN,100,NaN,3,1,0,1,1,1,1,1,1,1,NaN,NaN,0,0,0,1,3.67,9,NaN,NaN,NaN,NaN,NaN,NaN,1
brildor.com,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,247852,1,0.0,0,100,83,3,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1432459,3,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
shop.kwom.de,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,46017,0,NaN,NaN,70,NaN,4,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147405785,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
fatapejungle.com,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NaN,29341,1,NaN,NaN,100,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57200831,1,0,14,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
summersalt.com,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,272785,0,1.9,20,100,277,4,1,1,1,1,1,1,1,1,1,901110,4,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
customringz.de,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,127255,1,NaN,NaN,93,NaN,3,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17145474,1,0,14,0,1,4.95,758,NaN,NaN,NaN,NaN,NaN,NaN,1
numiscorner.com,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,296649,0,3.2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73674,4,0,14,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
werkbank360.de,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,63372,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61234808,1,0,0,0,1,4.83,10,NaN,NaN,NaN,NaN,NaN,NaN,1
flamingo-shop.eu,13,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,NaN,16828,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28877263,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
wittchenshop.de,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1334525,1,0.0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27254259,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
omnicheer.com,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,93599,1,1.6,2509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1599968,3,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
shop.elf-vape.de,13,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,365121,0,4.7,166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66942251,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
tor7.de,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,16050,1,3.5,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5386825,2,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
noveltytrophies.com,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,15272,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36282437,1,0,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
look-sprachreisen.de,17,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,56950,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18812211,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
brandlock.io,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,97946,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5167271,2,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
cbd-deal24.de,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,398213,0,4.3,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7027532,2,0,0,0,1,4.57,1088,NaN,NaN,NaN,NaN,NaN,NaN,1
achiy.com,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,191143,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10719336,2,0,14,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
